n,d,r,g,b
1,3.350000E-10,9.691225E-02,9.879716E-02,1.023567E-01
2,8.100000E-10,2.253404E-01,2.287908E-01,2.356340E-01
3,1.285000E-09,3.409538E-01,3.444802E-01,3.522013E-01
4,1.760000E-09,4.426062E-01,4.445181E-01,4.503571E-01
5,2.235000E-09,5.287515E-01,5.271370E-01,5.279407E-01
6,2.710000E-09,5.977187E-01,5.904285E-01,5.826205E-01
7,3.185000E-09,6.477035E-01,6.323368E-01,6.118885E-01
8,3.660000E-09,6.767617E-01,6.506517E-01,6.130558E-01
9,4.135000E-09,6.828016E-01,6.430034E-01,5.832504E-01
10,4.610000E-09,6.635774E-01,6.068581E-01,5.194181E-01
11,5.085000E-09,6.166834E-01,5.395153E-01,4.183260E-01
12,5.560000E-09,5.395485E-01,4.381066E-01,2.765713E-01
13,6.035000E-09,4.294327E-01,2.995977E-01,9.059363E-02
14,6.510000E-09,2.834250E-01,1.207928E-01,-1.433055E-01
15,6.985000E-09,9.844337E-02,-1.016567E-01,-4.289373E-01
16,7.460000E-09,-1.287625E-01,-3.712399E-01,-7.701922E-01
17,7.935000E-09,-4.016053E-01,-6.915684E-01,-1.170999E+00
18,8.410000E-09,-7.236503E-01,-1.066353E+00,-1.635272E+00
19,8.885000E-09,-1.098601E+00,-1.499372E+00,-2.166855E+00
20,9.360000E-09,-1.530279E+00,-1.994437E+00,-2.769447E+00
